0:0:0:0:0:0:0:1 - - [09/May/2019:19:53:56 -0300] "POST /zweit_web_projekt/verPerfil HTTP/1.1" 200 10762
0:0:0:0:0:0:0:1 - - [09/May/2019:19:56:57 -0300] "POST /zweit_web_projekt/verPerfil HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [09/May/2019:19:57:01 -0300] "POST /zweit_web_projekt/login HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [09/May/2019:19:57:04 -0300] "POST /zweit_web_projekt/deslogar HTTP/1.1" 200 17126
0:0:0:0:0:0:0:1 - - [09/May/2019:19:57:08 -0300] "POST /zweit_web_projekt/login HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [09/May/2019:19:57:11 -0300] "POST /zweit_web_projekt/verPerfil HTTP/1.1" 200 10762
0:0:0:0:0:0:0:1 - - [09/May/2019:19:57:20 -0300] "POST /zweit_web_projekt/atualizarPerfilPage HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [09/May/2019:19:57:22 -0300] "POST /zweit_web_projekt/atualizarUsuario HTTP/1.1" 200 10842
0:0:0:0:0:0:0:1 - - [09/May/2019:19:58:39 -0300] "POST /zweit_web_projekt/deslogar HTTP/1.1" 200 17126
0:0:0:0:0:0:0:1 - - [09/May/2019:19:59:06 -0300] "POST /zweit_web_projekt/login HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [09/May/2019:19:59:15 -0300] "POST /zweit_web_projekt/verPerfil HTTP/1.1" 200 10775
0:0:0:0:0:0:0:1 - - [09/May/2019:19:59:19 -0300] "POST /zweit_web_projekt/atualizarPerfilPage HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [09/May/2019:19:59:25 -0300] "POST /zweit_web_projekt/atualizarUsuario HTTP/1.1" 200 10841
0:0:0:0:0:0:0:1 - - [09/May/2019:19:59:34 -0300] "POST /zweit_web_projekt/deslogar HTTP/1.1" 200 17126
0:0:0:0:0:0:0:1 - - [09/May/2019:20:18:18 -0300] "GET /zweit_web_projekt/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 311949
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/index.jsp HTTP/1.1" 200 17126
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/img/logo.png HTTP/1.1" 200 9680
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 54456
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/js/sb-admin-2.min.js HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/img/img-tibia-2.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/js/demo/chart-pie-demo.js HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/js/demo/chart-area-demo.js HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/css/sb-admin-2.css HTTP/1.1" 200 241946
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/vendor/chart.js/Chart.min.js HTTP/1.1" 200 158741
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/img/img-tibia-1.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/img/img-tibia-3.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 74348
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:26 -0300] "GET /zweit_web_projekt/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 72112
0:0:0:0:0:0:0:1 - - [09/May/2019:20:35:27 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
